empleos,empleos_por_cada_1_000_pernoctaciones,empleos_por_cada_10_000_euros_de_ingresos,empleos_por_cada_100_plazas_alojativas,empleos_por_cada_100_viajeros_entrados,establecimientos,habitaciones,ingresos_por_habitacion,ingresos_totales,plazas,tarifa_media_diaria,tasa_de_ocupacion_por_habitacion,tasa_de_ocupacion_por_plaza
21659.0,16.53,4.03,13.48,7.38,607.0,66078.0,26.22,53714153.31,160729.0,82.63,31.74,26.3
31534.0,16.08,3.9,14.13,8.02,731.0,93195.0,28.89,80763464.68,223093.0,83.08,34.77,29.3
38101.0,9.74,2.43,13.77,5.78,840.0,115651.0,43.72,156736529.2,276698.0,91.2,47.94,45.62
43231.0,7.78,1.81,14.76,5.14,883.0,122803.0,62.63,238439639.4,292959.0,97.4,64.3,61.18
46065.0,8.96,1.98,14.8,6.09,929.0,130524.0,59.34,232089114.4,311158.0,90.38,65.62,55.09
50453.0,7.71,1.59,15.55,5.05,996.0,136506.0,74.93,316740230.1,324460.0,102.71,72.96,65.04
52438.0,7.94,1.52,15.76,5.79,1027.0,140209.0,82.09,344903782.8,332704.0,103.75,79.12,66.17
52747.0,8.94,1.67,15.66,6.31,1037.0,141886.0,71.81,315503010.2,336723.0,108.59,66.12,56.51
51872.0,9.55,1.95,15.27,7.37,1049.0,143402.0,59.83,265697249.1,339729.0,99.3,60.27,51.58
53266.0,8.86,1.81,15.76,5.9,1059.0,142829.0,73.79,295081544.2,337980.0,103.43,71.34,63.49
56637.0,7.88,1.51,16.59,5.61,1070.0,144080.0,84.08,375533651.5,341469.0,105.65,79.58,67.89
56923.0,7.98,1.67,16.37,5.18,1092.0,146822.0,77.29,340436857.0,347703.0,106.95,72.27,68.41
61022.0,9.56,2.29,17.8,6.22,1076.0,144722.0,59.3,266051668.7,342831.0,87.23,67.99,60.07
57389.0,8.58,2.03,16.42,5.68,1080.0,147562.0,63.76,282252013.6,349508.0,90.28,70.62,63.79
58557.0,7.1,1.63,16.67,4.92,1092.0,148288.0,78.1,359010628.8,351305.0,102.27,76.36,75.73
59798.0,6.58,1.44,16.89,4.95,1099.0,149471.0,89.84,416297759.4,354108.0,109.52,82.03,82.84
59598.0,8.1,1.73,16.87,5.75,1108.0,149187.0,77.02,344720863.0,353239.0,95.53,80.63,69.44
